AlbumID,ArtistID,AlbumTitle,ReleaseYear
201,341,Album_1,1982
202,283,Album_2,1989
203,556,Album_3,1996
204,636,Album_4,2012
205,476,Album_5,2019
206,494,Album_6,1988
207,763,Album_7,2003
208,732,Album_8,1991
209,311,Album_9,1995
210,221,Album_10,2011
211,278,,2022
212,970,Album_12,1988
213,245,Album_13,2012
214,649,Album_14,1982
215,457,Album_15,2018
216,125,Album_16,1989
217,411,Album_17,2001
218,448,Album_18,2010
219,461,Album_19,2009
220,127,Album_20,1996
221,752,Album_21,2012
222,106,Album_22,1992
223,283,Album_23,1988
224,909,Album_24,1993
225,1013,Album_25,2002
226,342,Album_26,1993
227,659,Album_27,1980
228,293,,2000
229,366,Album_29,2022
230,1050,Album_30,1992
231,432,Album_31,2008
232,765,Album_32,1985
233,267,Album_33,1984
234,924,Album_34,1983
235,302,Album_35,2012
236,423,Album_36,1981
237,151,Album_37,1998
238,301,Album_38,2010
239,1028,Album_39,2021
240,160,Album_40,2007
241,1088,Album_41,2008
242,551,Album_42,2016
243,584,Album_43,2002
244,631,Album_44,2023
245,475,Album_45,2007
246,612,Album_46,1984
247,974,Album_47,1982
248,395,Album_48,2016
249,335,Album_49,2020
250,540,Album_50,1988
251,413,Album_51,2004
252,936,Album_52,2022
253,190,,2004
254,459,Album_54,2020
255,1076,Album_55,2005
256,827,Album_56,2016
257,511,Album_57,2023
258,1099,Album_58,2003
259,189,Album_59,1988
260,859,Album_60,1991
261,572,Album_61,2007
262,137,Album_62,2015
263,294,Album_63,2016
264,508,Album_64,1996
265,306,,2005
266,389,Album_66,2000
267,507,Album_67,1993
268,934,Album_68,1991
269,460,Album_69,1987
270,748,Album_70,1989
271,991,Album_71,2019
272,670,Album_72,2012
273,642,Album_73,1995
274,333,Album_74,1985
275,663,Album_75,1995
276,840,Album_76,1992
277,469,Album_77,1987
278,136,Album_78,2008
279,922,Album_79,2017
280,334,Album_80,1995
281,727,Album_81,1998
282,358,Album_82,1995
283,1041,Album_83,2024
284,457,Album_84,2022
285,107,Album_85,2014
286,698,Album_86,2013
287,803,,2007
288,546,Album_88,2010
289,755,Album_89,2001
290,795,Album_90,1989
291,562,,2011
292,311,Album_92,1985
293,462,Album_93,2004
294,924,Album_94,2013
295,348,Album_95,2011
296,498,Album_96,1986
297,986,Album_97,2015
298,941,Album_98,1989
299,418,Album_99,2002
300,330,Album_100,1981
301,749,Album_101,2020
302,901,Album_102,2012
303,144,Album_103,1990
304,1075,Album_104,2005
305,185,Album_105,1985
306,1061,Album_106,1982
307,1013,Album_107,1996
308,1008,Album_108,1991
309,503,Album_109,2012
310,313,Album_110,2003
311,678,Album_111,2020
312,943,Album_112,2013
313,800,Album_113,1981
314,523,Album_114,1993
315,711,,2016
316,207,Album_116,2002
317,374,Album_117,1992
318,761,Album_118,2008
319,221,Album_119,2021
320,1060,Album_120,2015
321,1064,Album_121,2008
322,793,Album_122,2020
323,1057,Album_123,1984
324,966,Album_124,1997
325,635,Album_125,1999
326,548,Album_126,2015
327,651,Album_127,1986
328,497,Album_128,2013
329,588,Album_129,2011
330,749,Album_130,2022
331,468,Album_131,1988
332,687,Album_132,1986
333,460,Album_133,2023
334,329,,2000
335,505,Album_135,2023
336,946,Album_136,1993
337,154,Album_137,1988
338,664,Album_138,2013
339,128,Album_139,1993
340,196,Album_140,1981
341,984,Album_141,1998
342,1036,Album_142,1997
343,398,Album_143,2005
344,304,,2009
345,944,Album_145,2013
346,1070,Album_146,1984
347,566,Album_147,2015
348,380,Album_148,2000
349,206,,1992
350,672,Album_150,2010
351,650,Album_151,2009
352,813,Album_152,2016
353,1001,Album_153,1993
354,296,Album_154,2012
355,434,Album_155,2015
356,178,Album_156,2011
357,446,Album_157,1980
358,685,Album_158,2014
359,671,Album_159,1984
360,1050,Album_160,2003
361,411,Album_161,2017
362,1033,Album_162,1987
363,557,Album_163,2014
364,409,Album_164,1995
365,664,Album_165,2008
366,789,Album_166,1987
367,639,Album_167,1988
368,837,Album_168,1981
369,324,Album_169,2020
370,1063,Album_170,2021
371,577,Album_171,2001
372,701,Album_172,2007
373,413,Album_173,1988
374,625,Album_174,2016
375,1094,Album_175,2004
376,310,Album_176,2014
377,819,Album_177,1992
378,949,Album_178,2000
379,775,Album_179,1998
380,339,Album_180,1988
381,269,Album_181,2020
382,362,Album_182,2001
383,1004,,1991
384,968,Album_184,1986
385,280,Album_185,1994
386,267,Album_186,2018
387,157,,2004
388,267,Album_188,1984
389,1034,Album_189,1981
390,966,Album_190,2019
391,186,Album_191,1982
392,267,Album_192,1999
393,714,Album_193,2010
394,691,Album_194,1988
395,881,Album_195,1990
396,1071,Album_196,1999
397,768,Album_197,2001
398,262,,2024
399,594,Album_199,2013
400,670,Album_200,2015
401,762,Album_201,2017
402,585,Album_202,2005
403,532,Album_203,2008
404,1023,Album_204,1983
405,796,Album_205,1992
406,502,Album_206,2012
407,1011,Album_207,1996
408,584,Album_208,2017
409,855,Album_209,2011
410,375,Album_210,2004
411,903,Album_211,1984
412,195,Album_212,1995
413,421,Album_213,1987
414,1016,Album_214,1981
415,249,Album_215,2005
416,816,Album_216,2012
417,724,Album_217,1996
418,611,Album_218,2019
419,1030,Album_219,1998
420,936,Album_220,1982
421,280,Album_221,1996
422,244,Album_222,1995
423,642,Album_223,1993
424,481,Album_224,2022
425,951,Album_225,2014
426,648,Album_226,2015
427,717,Album_227,2021
428,843,Album_228,2013
429,1097,Album_229,1998
430,641,Album_230,1980
431,301,Album_231,1999
432,147,Album_232,1997
433,295,Album_233,2024
434,406,,2010
435,267,Album_235,2015
436,900,Album_236,2011
437,284,,1995
438,239,Album_238,1998
439,294,Album_239,2013
440,974,Album_240,2023
441,589,Album_241,2001
442,295,Album_242,1985
443,350,Album_243,2001
